date,food_item,quantity_sold,students_present,price,is_holiday,is_exam_day
2026-03-01,Samosa,104,339,22,0,0
2026-03-01,Vada Pav,100,339,20,0,0
2026-03-01,Poha,80,339,25,0,0
2026-03-01,Misal Pav,46,339,40,0,0
2026-03-01,Idli,57,339,35,0,0
2026-03-01,Tea,165,339,12,0,0
2026-03-02,Samosa,154,510,22,0,0
2026-03-02,Vada Pav,115,510,20,0,0
2026-03-02,Poha,104,510,25,0,0
2026-03-02,Misal Pav,82,510,40,0,0
2026-03-02,Idli,88,510,35,0,0
2026-03-02,Tea,235,510,12,0,0
2026-03-03,Samosa,146,534,22,0,0
2026-03-03,Vada Pav,129,534,20,0,0
2026-03-03,Poha,92,534,25,0,0
2026-03-03,Misal Pav,83,534,40,0,0
2026-03-03,Idli,88,534,35,0,0
2026-03-03,Tea,216,534,12,0,0
2026-03-04,Samosa,168,499,22,0,0
2026-03-04,Vada Pav,121,499,20,0,0
2026-03-04,Poha,94,499,25,0,0
2026-03-04,Misal Pav,74,499,40,0,0
2026-03-04,Idli,90,499,35,0,0
2026-03-04,Tea,221,499,12,0,0
2026-03-05,Samosa,162,532,22,0,0
2026-03-05,Vada Pav,146,532,20,0,0
2026-03-05,Poha,96,532,25,0,0
2026-03-05,Misal Pav,75,532,40,0,0
2026-03-05,Idli,83,532,35,0,0
2026-03-05,Tea,229,532,12,0,0
2026-03-06,Samosa,157,553,22,0,0
2026-03-06,Vada Pav,118,553,20,0,0
2026-03-06,Poha,94,553,25,0,0
2026-03-06,Misal Pav,83,553,40,0,0
2026-03-06,Idli,94,553,35,0,0
2026-03-06,Tea,231,553,12,0,0
2026-03-07,Samosa,102,310,22,0,0
2026-03-07,Vada Pav,80,310,20,0,0
2026-03-07,Poha,64,310,25,0,0
2026-03-07,Misal Pav,55,310,40,0,0
2026-03-07,Idli,57,310,35,0,0
2026-03-07,Tea,150,310,12,0,0
2026-03-08,Samosa,104,332,22,0,0
2026-03-08,Vada Pav,86,332,20,0,0
2026-03-08,Poha,52,332,25,0,0
2026-03-08,Misal Pav,48,332,40,0,0
2026-03-08,Idli,53,332,35,0,0
2026-03-08,Tea,130,332,12,0,0
2026-03-09,Samosa,173,511,22,0,0
2026-03-09,Vada Pav,115,511,20,0,0
2026-03-09,Poha,105,511,25,0,0
2026-03-09,Misal Pav,67,511,40,0,0
2026-03-09,Idli,85,511,35,0,0
2026-03-09,Tea,219,511,12,0,0
2026-03-10,Samosa,165,537,22,0,0
2026-03-10,Vada Pav,133,537,20,0,0
2026-03-10,Poha,96,537,25,0,0
2026-03-10,Misal Pav,75,537,40,0,0
2026-03-10,Idli,94,537,35,0,0
2026-03-10,Tea,216,537,12,0,0
2026-03-11,Samosa,138,481,22,0,0
2026-03-11,Vada Pav,113,481,20,0,0
2026-03-11,Poha,100,481,25,0,0
2026-03-11,Misal Pav,77,481,40,0,0
2026-03-11,Idli,91,481,35,0,0
2026-03-11,Tea,206,481,12,0,0
2026-03-12,Samosa,163,524,22,0,0
2026-03-12,Vada Pav,121,524,20,0,0
2026-03-12,Poha,102,524,25,0,0
2026-03-12,Misal Pav,74,524,40,0,0
2026-03-12,Idli,86,524,35,0,0
2026-03-12,Tea,212,524,12,0,0
2026-03-13,Samosa,158,484,22,0,0
2026-03-13,Vada Pav,117,484,20,0,0
2026-03-13,Poha,96,484,25,0,0
2026-03-13,Misal Pav,79,484,40,0,0
2026-03-13,Idli,89,484,35,0,0
2026-03-13,Tea,225,484,12,0,0
2026-03-14,Samosa,95,327,22,0,0
2026-03-14,Vada Pav,79,327,20,0,0
2026-03-14,Poha,50,327,25,0,0
2026-03-14,Misal Pav,41,327,40,0,0
2026-03-14,Idli,48,327,35,0,0
2026-03-14,Tea,124,327,12,0,0
2026-03-15,Samosa,90,341,22,0,0
2026-03-15,Vada Pav,77,341,20,0,0
2026-03-15,Poha,74,341,25,0,0
2026-03-15,Misal Pav,48,341,40,0,0
2026-03-15,Idli,62,341,35,0,0
2026-03-15,Tea,126,341,12,0,0
2026-03-16,Samosa,143,513,22,0,0
2026-03-16,Vada Pav,120,513,20,0,0
2026-03-16,Poha,104,513,25,0,0
2026-03-16,Misal Pav,67,513,40,0,0
2026-03-16,Idli,90,513,35,0,0
2026-03-16,Tea,221,513,12,0,0
2026-03-17,Samosa,136,502,22,0,0
2026-03-17,Vada Pav,124,502,20,0,0
2026-03-17,Poha,93,502,25,0,0
2026-03-17,Misal Pav,78,502,40,0,0
2026-03-17,Idli,87,502,35,0,0
2026-03-17,Tea,242,502,12,0,0
2026-03-18,Samosa,142,512,22,0,0
2026-03-18,Vada Pav,125,512,20,0,0
2026-03-18,Poha,99,512,25,0,0
2026-03-18,Misal Pav,85,512,40,0,0
2026-03-18,Idli,93,512,35,0,0
2026-03-18,Tea,223,512,12,0,0
2026-03-19,Samosa,145,563,22,0,0
2026-03-19,Vada Pav,121,563,20,0,0
2026-03-19,Poha,93,563,25,0,0
2026-03-19,Misal Pav,77,563,40,0,0
2026-03-19,Idli,80,563,35,0,0
2026-03-19,Tea,233,563,12,0,0
2026-03-20,Samosa,137,513,22,0,0
2026-03-20,Vada Pav,114,513,20,0,0
2026-03-20,Poha,100,513,25,0,0
2026-03-20,Misal Pav,82,513,40,0,0
2026-03-20,Idli,101,513,35,0,0
2026-03-20,Tea,266,513,12,0,0
2026-03-21,Samosa,89,342,22,0,0
2026-03-21,Vada Pav,60,342,20,0,0
2026-03-21,Poha,66,342,25,0,0
2026-03-21,Misal Pav,45,342,40,0,0
2026-03-21,Idli,54,342,35,0,0
2026-03-21,Tea,131,342,12,0,0
2026-03-22,Samosa,113,325,22,0,0
2026-03-22,Vada Pav,81,325,20,0,0
2026-03-22,Poha,62,325,25,0,0
2026-03-22,Misal Pav,44,325,40,0,0
2026-03-22,Idli,45,325,35,0,0
2026-03-22,Tea,132,325,12,0,0
2026-03-23,Samosa,176,518,22,0,0
2026-03-23,Vada Pav,125,518,20,0,0
2026-03-23,Poha,106,518,25,0,0
2026-03-23,Misal Pav,74,518,40,0,0
